Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
CuGa0.85Mn0.15Se2,115.0,,251.15,,,,,,,,,,10.1016/j.jmmm.2012.09.026,TRUE
CuGa0.80Mn0.20Se2,120.0,,250.40,,,,,,,,,,10.1016/j.jmmm.2012.09.026,TRUE
CuGa0.75Mn0.25Se2,120.0,,255.24,,,,,,,,,,10.1016/j.jmmm.2012.09.026,TRUE
DySi,,40.0,,,-,"{'a': '10.48440(2)', 'b': '4.25118(1)', 'c': '3.80545(1)'}",.63,,7.7(1) μB,,,,10.1016/j.jmmm.2010.11.026,TRUE
DySi,,40.0,,,-,"{'a': '7.86619(1)', 'b': '3.80309(0)', 'c': '5.66678(0)'}",.62,,8.0(1) μB,,,,10.1016/j.jmmm.2010.11.026,TRUE
La0.67Pb0.33MnO3,361.0,,376,,3,"{'a': '5.5302', 'c': '13.4640'}",3,,5.65 μB,,,,10.1016/j.jmmm.2011.06.028,TRUE
La0.67Pb0.28Ag0.05MnO3,332.0,,342,,3,"{'a': '5.5076', 'c': '13.4635'}",3,,4.97 μB,,,,10.1016/j.jmmm.2011.06.028,TRUE
La0.67Pb0.23Ag0.10MnO3,311.0,,320,,3,"{'a': '5.5002', 'c': '13.4631'}",3,,4.87 μB,,,,10.1016/j.jmmm.2011.06.028,TRUE
La0.67Pb0.18Ag0.15MnO3,290.0,,280,,3,"{'a': '5.4964', 'c': '13.4626'}",3,,4.84 μB,,,,10.1016/j.jmmm.2011.06.028,TRUE
Ni0.1Zn0.9Fe2O4,,87.0,,,,"{'a': '8.4271', 'b': '8.4271', 'c': '8.4271'}",,0,,23.95,0,,10.1016/j.jmmm.2009.12.006,TRUE
Ni0.3Zn0.7Fe2O4,,138.0,,,,"{'a': '8.4100', 'b': '8.4100', 'c': '8.4100'}",,0,,31.72,0,,10.1016/j.jmmm.2009.12.006,TRUE
NiMnSb,750.0,,706,1,,{'a': '0.593 nm'},,,,,,0.71-706,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.1Ni0.9MnSb,,,770,,,{'a': '0.5945 nm'},,,,,,0.81-770,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.2Ni0.8MnSb,,,741,,,{'a': '0.597 nm'},,,,,,0.85-741,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.3Ni0.7MnSb,,,720,,,{'a': '0.5985 nm'},,,,,,0.88-720,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.4Ni0.6MnSb,,,655,,,{'a': '0.600 nm'},,,,,,0.96-655,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.5Ni0.5MnSb,,,583,,,{'a': '0.6015 nm'},,,,,,1.045-583,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.6Ni0.4MnSb,,,491.5,,,{'a': '0.603 nm'},,,,,,1.06-491.5,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.7Ni0.3MnSb,,,397,,,{'a': '0.6045 nm'},,,,,,1.127-397,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.8Ni0.2MnSb,,,277,,,{'a': '0.606 nm'},,,,,,1.28-277,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.87Ni0.13MnSb,,,166.6,,,{'a': '0.60705 nm'},,,,,,1.11-166.6,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.9Ni0.1MnSb,,,156.4,,,{'a': '0.6075 nm'},,,,,,1.23-156.4,10.1016/j.jmmm.2004.09.107,TRUE
Cu0.97Ni0.03MnSb,,,30.56,,,{'a': '0.60855 nm'},,,,,,1.2-30.56,10.1016/j.jmmm.2004.09.107,TRUE
CuMnSb,,55.0,27.1,1,,{'a': '0.608 nm'},,,,,,1.28-27.1,10.1016/j.jmmm.2004.09.107,TRUE
Cd0.35Zn0.65Cr2Se4,74.0,,,-,,{'a': '10.707'},-3227,,2.82 ± 0.05 μB/Cr.at,61.03,,,10.1016/j.jmmm.2018.12.063,TRUE
Cd0.45Zn0.55Cr2Se4,54.0,,,-,,{'a': '10.649'},-3227,,2.80 ± 0.05 μB/Cr.at,61.23,,,10.1016/j.jmmm.2018.12.063,TRUE
Cd0.55Zn0.45Cr2Se4,40.0,,,-,,{'a': '10.620'},-3227,,2.83 ± 0.05 μB/Cr.at,62.57,,,10.1016/j.jmmm.2018.12.063,TRUE
CdCr2Se4,129.0,,,-,,{'a': '10.736'},-3227,,2.81 ± 0.05 μB/Cr.at,59.00,,,10.1016/j.jmmm.2018.12.063,TRUE
Ho2In,92.0,,,,,,63,,,,,,10.1016/j.jmmm.2021.168305,TRUE
Ho2In0.9Al0.1,68.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168305,TRUE
Ho2In0.8Al0.2,44.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168305,TRUE
Ho2In0.7Al0.3,40.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168305,TRUE
GdCo9Si4,47.0,,,,,,,,,,,,10.1016/j.jmmm.2010.04.039,TRUE
GdCo9.2Si3.8,60.0,,,,,,,,,,,,10.1016/j.jmmm.2010.04.039,TRUE
GdCo8.8Si4.2,28.0,,,,,,,,,,,,10.1016/j.jmmm.2010.04.039,TRUE
Gd70Y30,277.0,,,,,"{'a': '3.6342', 'c': '5.7856'}",63,,,238,,,10.1016/j.jmmm.2018.05.082,TRUE
Gd70Y20Fe10,283.0,,,,,"{'a': '3.6343', 'c': '5.7847'}",63,,,241,,,10.1016/j.jmmm.2018.05.082,TRUE
Gd70Y10Fe20,291.0,,,,,"{'a': '3.6343', 'c': '5.7841'}",63,,,197,,,10.1016/j.jmmm.2018.05.082,TRUE
Gd,293.0,,,,,,,,,,,,10.1016/j.jmmm.2018.05.082,
Gd65Fe20Al15,175.0,,,,,,,,,,,,10.1016/j.jmmm.2018.05.082,
ErCrO3,,136.5,,,,,,,,4.5,,,10.1016/j.jmmm.2023.170572,TRUE
ErCr0.9Fe0.1O3,,,-22.04,,,,,,9.40 μB,,,,10.1016/j.jmmm.2023.170572,TRUE
ErCr0.8Fe0.2O3,,,-20.16,,,,,,9.04 μB,,,,10.1016/j.jmmm.2023.170572,TRUE
ErCr0.7Fe0.3O3,,,-8.48,,,,,,8.79 μB,,,,10.1016/j.jmmm.2023.170572,TRUE
ErCr0.6Fe0.4O3,,,26.52,,,,,,8.75 μB,,,,10.1016/j.jmmm.2023.170572,TRUE
ErCr0.5Fe0.5O3,,259.5,44.03,,,,,,8.75 μB,0.75,,,10.1016/j.jmmm.2023.170572,TRUE
LiMnO2,,60.0,-790,,,"{'a': '0.2805 nm', 'b': '0.5751 nm', 'c': '0.4573 nm'}",,,5.26 μB,,,4.2,10.1016/j.jmmm.2019.04.091,TRUE
CuMnO2,,40.0,-200,,,,,,4.7 μB,,,,10.1016/j.jmmm.2019.04.091,FALSE
Mn0.95Yb0.05S,,126.0,,-,,{'a': '5.222'},,,,,,,10.1016/j.jmmm.2013.09.061,TRUE
Ni0.1Mn0.3Zn0.6Fe2O4,643.15,,,,,,,01.05,,46,,,10.1016/j.jmmm.2004.04.115,TRUE
Ni0.2Mn0.2Zn0.6Fe2O4,688.15,,,,,,,0.35,,51,,,10.1016/j.jmmm.2004.04.115,TRUE
Ni0.3Mn0.1Zn0.6Fe2O4,730.15,,,,,,,0.54,,57,,,10.1016/j.jmmm.2004.04.115,TRUE
Ni0.4Mn0.0Zn0.6Fe2O4,763.15,,,,,,,0.78,,52,,,10.1016/j.jmmm.2004.04.115,TRUE
EuO1−x,105.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168964,TRUE
Cu6Ge6O18·6H2O,,38.5,,,,,32.148,,,,,,10.1016/j.jmmm.2004.01.016,TRUE
Cu6Ge6O18,,73.5,,,,,32.148,,,,,,10.1016/j.jmmm.2004.01.016,TRUE
Nd0.6Sr0.4CoO3,10.0,,,,,"{'a': '5.3632', 'b': '5.3266', 'c': '7.5499'}",62,,,,,,10.1016/j.jmmm.2018.02.087,TRUE
Nd0.6Sr0.4Mn0.3Co0.7O3,165.0,,,,,"{'a': '5.4524', 'b': '5.4094', 'c': '7.6682'}",62,,,,,,10.1016/j.jmmm.2018.02.087,TRUE
Nd0.6Sr0.4Mn0.7Co0.3O3,130.0,,,,,"{'a': '5.4605', 'b': '5.4035', 'c': '7.6944'}",62,,,,,,10.1016/j.jmmm.2018.02.087,TRUE
Nd0.6Sr0.4MnO3,45.0,,,,,"{'a': '5.4646', 'b': '5.4107', 'c': '7.6519'}",62,,,,,,10.1016/j.jmmm.2018.02.087,TRUE
La0.65Ca0.35Mn0.9Ti0.1O3,103.0,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
La0.8Ba0.1Ca0.1Mn0.85Co0.15O3,205.0,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
La0.67Sr0.33Mn0.9Cr0.1O3,328.0,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
DyNiSi,8.8,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
Mn0.89Fe0.11NiGe,203.0,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
TmFeO3,17.0,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
Pr0.6Pb0.4MnO3,240.0,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
Pr1.75Sr1.25Mn2O7,305.0,,,,,,,,,,,,10.1016/j.jmmm.2018.02.087,
LaSrCoO4,150.0,,,24,,,,,,,,,10.1016/j.jmmm.2003.11.357,TRUE
La0.9Sr1.1CoO4,150.0,,92,24,,,,,2.72 μB,,,,10.1016/j.jmmm.2003.11.357,TRUE
La0.8Sr1.2CoO4,150.0,,133,24,,,,,2.93 μB,,,,10.1016/j.jmmm.2003.11.357,TRUE
La0.7Sr1.3CoO4,150.0,,169,24,,,,,2.90 μB,,,,10.1016/j.jmmm.2003.11.357,TRUE
La0.6Sr1.4CoO4,150.0,,200,24,,,,,2.91 μB,,,,10.1016/j.jmmm.2003.11.357,TRUE
Ni0.8Zn0.2Fe2O4,778.15,,,,,{'a': '8.3333'},3,,,41.1,,,10.1016/j.jmmm.2021.168043,TRUE
Ni0.6Zn0.2Mn0.2Fe2O4,693.15,,,,,{'a': '8.3558'},3,,,62.8,,,10.1016/j.jmmm.2021.168043,TRUE
Ni0.4Zn0.4Mn0.2Fe2O4,576.15,,,,,{'a': '8.4102'},3,,,46.1,,,10.1016/j.jmmm.2021.168043,TRUE
Ni0.2Zn0.6Mn0.2Fe2O4,563.15,,,,,{'a': '8.3816'},3,,,55.6,,,10.1016/j.jmmm.2021.168043,TRUE
Ni0.2Zn0.4Mn0.4Fe2O4,644.15,,,,,{'a': '8.3681'},3,,,64.3,,,10.1016/j.jmmm.2021.168043,TRUE
Ba2FeMoO6,330.0,,,,,"{'a': '8.075', 'b': '8.075', 'c': '8.075'}",3,,4 μB/f.u.,,,,10.1016/j.jmmm.2003.12.430,TRUE
Ba1.9La0.1FeMoO6,332.0,,,,,"{'a': '8.065', 'b': '8.065', 'c': '8.065'}",3,,3.8 μB/f.u.,,,,10.1016/j.jmmm.2003.12.430,TRUE
Ba1.8La0.2FeMoO6,334.0,,,,,"{'a': '8.045', 'b': '8.045', 'c': '8.045'}",3,,3.5 μB/f.u.,,,,10.1016/j.jmmm.2003.12.430,TRUE
NiBr2,,46.0,51.0,2,,"{'a': '3.74', 'b': '3.74', 'c': '18.14'}",-3,,3.23 μB/f.u.,,,,10.1016/j.jmmm.2022.169452,TRUE
Ni0.945Fe0.055Br2,,,41.5,2,,"{'a': '3.75', 'b': '3.75', 'c': '18.16'}",-3,,3.39 μB/f.u.,,,,10.1016/j.jmmm.2022.169452,TRUE
Ni0.93Fe0.07Br2,,,39.8,2,,"{'a': '3.76', 'b': '3.76', 'c': '18.18'}",-3,,3.51 μB/f.u.,,,,10.1016/j.jmmm.2022.169452,TRUE
Ni0.905Fe0.095Br2,,,35.9,2,,"{'a': '3.77', 'b': '3.77', 'c': '18.20'}",-3,,3.62 μB/f.u.,,,,10.1016/j.jmmm.2022.169452,TRUE
Ni0.83Fe0.17Br2,,,38.4,2,,,-3,,3.75 μB/f.u.,,,,10.1016/j.jmmm.2022.169452,TRUE
La0.5Sr0.5Co1−xFexO3,250.0,,,,,,,,,,,,10.1016/j.jmmm.2004.11.313,TRUE
La0.5Sr0.5Co0.9Fe0.1O3,240.0,,,,,,,,,,,,10.1016/j.jmmm.2004.11.313,TRUE
La0.5Sr0.5Co0.8Fe0.2O3,230.0,,,,,,,,,,,,10.1016/j.jmmm.2004.11.313,TRUE
La0.5Sr0.5Co0.7Fe0.3O3,190.0,,,,,,,,,,,,10.1016/j.jmmm.2004.11.313,TRUE
La0.5Sr0.5Co0.6Fe0.4O3,166.0,,,,,,,,,,,,10.1016/j.jmmm.2004.11.313,TRUE
HoCrO3,,141.0,,,-,,.62,,,,,,10.1016/j.jmmm.2018.10.086,TRUE
YCrO3,,141.0,,,-,,.62,,,,,,10.1016/j.jmmm.2018.10.086,TRUE
Ho0.8Y0.2CrO3,,141.0,,,-,,.62,,,,,,10.1016/j.jmmm.2018.10.086,TRUE
Ho0.6Y0.4CrO3,,141.0,,,-,,.62,,,,,,10.1016/j.jmmm.2018.10.086,TRUE
Ho0.4Y0.6CrO3,,141.0,,,-,,.62,,,,,,10.1016/j.jmmm.2018.10.086,TRUE
Ho0.2Y0.8CrO3,,141.0,,,-,,.62,,,,,,10.1016/j.jmmm.2018.10.086,TRUE
Ni48Mn39In13,320.0,,,7,,"{'a': '4.487', 'b': '30.875', 'c': '5.567'}",,,,,,,10.1016/j.jmmm.2011.07.022,TRUE
Ni47Mn40In13,320.0,,,721,,{'a': '5.983'},,,,,,,10.1016/j.jmmm.2011.07.022,TRUE
Ni46Mn41In13,317.0,,,21,,{'a': '5.983'},,,,,,,10.1016/j.jmmm.2011.07.022,TRUE
Ni45Mn42In13,315.0,,,21,,{'a': '6.011'},,,,,,,10.1016/j.jmmm.2011.07.022,TRUE
MnCo2O4,166.0,,,,,{'a': '8.25710'},-3,0.01,,,,,10.1016/j.jmmm.2019.01.089,TRUE
Mn0.95Ir0.05Co2O4,164.0,,,,,{'a': '8.26064'},-3,0.4,,,,,10.1016/j.jmmm.2019.01.089,TRUE
Mn0.9Ir0.1Co2O4,158.0,133.0,,,,{'a': '8.26697'},-3,0.42,,,,,10.1016/j.jmmm.2019.01.089,TRUE
Mn0.8Ir0.2Co2O4,163.0,,,,,{'a': '8.28000'},-3,0.82,,,,,10.1016/j.jmmm.2019.01.089,TRUE
Mn0.7Ir0.3Co2O4,160.0,147.0,,,,{'a': '8.29224'},-3,0.56,,,,,10.1016/j.jmmm.2019.01.089,TRUE
NiFe2O4,,823.15,,,,,,,,,,,10.1016/j.jmmm.2010.05.010,TRUE
NiFe1.8Sn0.1Cu0.1O4,,803.15,,,,,,,,,,,10.1016/j.jmmm.2010.05.010,TRUE
NiFe1.6Sn0.2Cu0.2O4,,783.15,,,,,,,,,,,10.1016/j.jmmm.2010.05.010,TRUE
NiFe1.4Sn0.3Cu0.3O4,,683.15,,,,,,,,,,,10.1016/j.jmmm.2010.05.010,TRUE
La0.7Sr0.2Sm0.1MnO3,303.0,,,,,"{'a': '0.5485 nm', 'b': '0.5485 nm', 'c': '1.3348 nm'}",3,,,,,,10.1016/j.jmmm.2020.167283,TRUE
La0.65Sr0.2Sm0.15MnO3,266.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,TRUE
La0.6Sr0.2Sm0.2MnO3,234.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,TRUE
La0.6Sr0.3Dy0.1MnO3,307.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,FALSE
La0.67Ba0.33MnO3,292.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,FALSE
La0.75Eu0.05Sr0.2MnO3,305.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,FALSE
La0.75Gd0.05Sr0.2MnO3,275.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,FALSE
La0.75Sm0.05Sr0.2MnO3,310.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,FALSE
La0.65Sr0.35MnO3,377.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,FALSE
La0.55Pr0.1Sr0.35MnO3,353.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167283,FALSE
Fe3Si,800.15,,,3-,,,-3,,,,,,10.1016/j.jmmm.2017.06.010,TRUE
La0.7Pr0.3Fe11.5Si1.5,186.0,,,,13-,,,,,,,,10.1016/j.jmmm.2009.02.027,TRUE
La0.7Pr0.3Fe11Si2.0,218.0,,,,13-,,,,,,,,10.1016/j.jmmm.2009.02.027,TRUE
La0.5Na0.5MnO3,334.0,,,,,,,10,1.37 μB/Mn,34.4,,,10.1016/j.jmmm.2015.04.092,TRUE
La0.4Na0.6MnO3,323.0,,,,,,,10,1.08 μB/Mn,29.5,,,10.1016/j.jmmm.2015.04.092,TRUE
La0.3Na0.7MnO3,318.0,,,,,,,10,0.76 μB/Mn,22.4,,,10.1016/j.jmmm.2015.04.092,TRUE
La0.2Na0.8MnO3,308.0,,,,,,,10,0.62 μB/Mn,17.6,,,10.1016/j.jmmm.2015.04.092,TRUE
La0.1Na0.9MnO3,303.0,,,,,,,10,0.34 μB/Mn,10.1,,,10.1016/j.jmmm.2015.04.092,TRUE
La0.9Ca0.1MnO3,145.0,76.0,,,,,,,,,,,10.1016/S0304-8853(01)00993-3,TRUE
La0.8Ca0.2MnO3,180.0,68.0,,,,,,,,,,,10.1016/S0304-8853(01)00993-3,TRUE
MnCoSi,,400.0,,,-,"{'a': '5.8631', 'b': '3.6893', 'c': '6.8595'}",,,,,,,10.1016/j.jmmm.2015.04.005,TRUE
MnCo0.9Fe0.1Si,361.0,,,,-,"{'a': '5.8442', 'b': '3.6966', 'c': '6.8720'}",,,,,,,10.1016/j.jmmm.2015.04.005,TRUE
MnCo0.85Fe0.15Si,347.0,,,,-,"{'a': '5.8342', 'b': '3.6975', 'c': '6.8731'}",,,,,,,10.1016/j.jmmm.2015.04.005,TRUE
MnCo0.8Fe0.2Si,327.0,,,,-,"{'a': '5.8287', 'b': '3.7017', 'c': '6.8838'}",,,,,,,10.1016/j.jmmm.2015.04.005,TRUE
MnCo0.7Fe0.3Si,307.0,,,,-,"{'a': '5.8185', 'b': '3.7073', 'c': '6.9061'}",,,,,,,10.1016/j.jmmm.2015.04.005,TRUE
MnCo0.6Fe0.4Si,284.0,,,,-,"{'a': '5.8005', 'b': '3.7071', 'c': '6.9261'}",,,,,,,10.1016/j.jmmm.2015.04.005,TRUE
MnCo0.5Fe0.5Si,296.0,,,,-,"{'a': '5.8086', 'b': '3.7124', 'c': '6.9405'}",,,,,,,10.1016/j.jmmm.2015.04.005,TRUE
La1.4Ca1.6Mn2O7,135.0,,,,327-,,,,,,,,10.1016/j.jmmm.2004.11.528,TRUE
La1.4Ca1.4Ba0.2Mn2O7,144.0,,,,327-,,,,,,,,10.1016/j.jmmm.2004.11.528,TRUE
La1.4Ca1.2Ba0.4Mn2O7,163.0,,,,327-,,,,,,,,10.1016/j.jmmm.2004.11.528,TRUE
La1.4Ca1.0Ba0.6Mn2O7,185.0,,,,327-,,,,,,,,10.1016/j.jmmm.2004.11.528,TRUE
Cd0.9983Fe0.0017S,,,-505,-,,,,,,,,0.6610-7-,10.1016/j.jmmm.2015.12.067,TRUE
Cd0.9924Fe0.0076S,,,-295,-,,,,,,,,0.6710-7-,10.1016/j.jmmm.2015.12.067,TRUE
Cd0.977Fe0.023S,,,-177,-,,,,,,,,0.7310-7-,10.1016/j.jmmm.2015.12.067,TRUE
Cd0.967Fe0.033S,,,20,-,,,,,,,,0.7710-7-,10.1016/j.jmmm.2015.12.067,TRUE
MnCoGe1.017,342.0,,,,,"{'a': '5.9471', 'b': '3.8190', 'c': '7.0357'}",,,,,,,10.1016/j.jmmm.2017.05.021,TRUE
MnCoGe1.02,272.0,,,2,,"{'a': '4.0868', 'c': '5.3312'}",,,,,,,10.1016/j.jmmm.2017.05.021,TRUE
La0.7Ca0.3MnO3,229.0,,,,,,,,,,,,10.1016/j.jmmm.2013.10.033,TRUE
La0.6Pr0.1Ca0.3MnO3,202.0,,,,,,,,,,,,10.1016/j.jmmm.2013.10.033,TRUE
La0.5Pr0.2Ca0.3MnO3,175.0,,,,,,,,,,,,10.1016/j.jmmm.2013.10.033,TRUE
La0.4Pr0.3Ca0.3MnO3,148.0,,,,,,,,,,,,10.1016/j.jmmm.2013.10.033,TRUE
SiMn,30.0,,,,,,,,,12.83,,,10.1016/j.jmmm.2004.04.055,TRUE
Si3Mn5,,95.0,,,,,,,,,,,10.1016/j.jmmm.2004.04.055,TRUE
Co36Fe36Si3Al1B20Nb4,1060.0,,,,,,,18,,,,,10.1016/j.jmmm.2009.08.048,TRUE
Co36Fe36Si4B20Nb4,950.0,,,,,,,18,,,,,10.1016/j.jmmm.2009.08.048,TRUE
Pr0.7Sr0.3MnO3,255.0,,,,,"{'a': '5.484(9)', 'b': '5.462(7)', 'c': '7.722(8)'}",,,5.501 μB,,,,10.1016/j.jmmm.2020.167011,TRUE
Pr0.5Nd0.2Sr0.3MnO3,242.0,,261.738,,,"{'a': '5.477(8)', 'b': '5.458(4)', 'c': '7.721(2)'}",,,5.507 μB,,,,10.1016/j.jmmm.2020.167011,TRUE
Pr0.5Sm0.2Sr0.3MnO3,179.0,,222.067,,,"{'a': '5.466(2)', 'b': '5.456(7)', 'c': '7.707(8)'}",,,5.277 μB,,,,10.1016/j.jmmm.2020.167011,TRUE
Pr0.5Gd0.2Sr0.3MnO3,137.0,,188.537,,,"{'a': '5.463(4)', 'b': '5.456(7)', 'c': '7.705(1)'}",,,6.349 μB,,,,10.1016/j.jmmm.2020.167011,TRUE
CrO2,667.15,,,,,"{'a': '4.413', 'b': '4.472', 'c': '2.915'}",,,,460,,,10.1016/j.jmmm.2017.11.106,TRUE
Cr0.99Ti0.01O2,643.15,,,,,"{'a': '4.404', 'b': '4.543', 'c': '2.917'}",,,,224,,,10.1016/j.jmmm.2017.11.106,TRUE
Cr0.94Ti0.06O2,625.15,,,,,"{'a': '4.406', 'b': '4.528', 'c': '2.958'}",,,,185,,,10.1016/j.jmmm.2017.11.106,TRUE
Bi2Te3,10.0,,,,,,,,,,,,10.1016/j.jmmm.2006.02.041,FALSE
Sb2Te3,17.0,,,,,,,,,,,,10.1016/j.jmmm.2006.02.041,FALSE
Bi2Te3,12.0,,,,,,,,,,,,10.1016/j.jmmm.2006.02.041,FALSE
Sb2Te3,22.0,,,,,,,,,,,,10.1016/j.jmmm.2006.02.041,FALSE
Ti0.98V0.02O2,,,-24,,,{'c': '9.472'},,503007010,,0.0026300,,,10.1016/j.jmmm.2007.05.009,TRUE
Ti0.92V0.08O2,,,-70,,,{'c': '9.493'},,8030010510,,0.0054300,,,10.1016/j.jmmm.2007.05.009,TRUE
Ba2Fe1.0Mo1.0O6,340.0,,,,,,3,40,3.49 μB per formula unit,37.3173,,,10.1016/j.jmmm.2004.04.036,TRUE
Ba2Fe1.1Mo0.9O6,340.0,,,,,,3,40,,,,,10.1016/j.jmmm.2004.04.036,TRUE
Ba2Fe1.2Mo0.8O6,340.0,,,,,,3,40,,,,,10.1016/j.jmmm.2004.04.036,TRUE
Ba2Fe1.3Mo0.7O6,340.0,,,,,,3,40,2.78 μB per formula unit,30.4173,,,10.1016/j.jmmm.2004.04.036,TRUE
Fe0.7Si0.3,690.0,,,,3-,{'a': '2.829'},,,,112,,,10.1016/j.jmmm.2005.05.002,TRUE
Fe0.4Si0.3Co0.3,972.0,,,,3-,{'a': '2.821'},,,,83,,,10.1016/j.jmmm.2005.05.002,TRUE
DyFe11.5Ta0.5,540.0,,,12-,-,,4,,2.04 μB,,,,10.1016/j.jmmm.2019.01.041,TRUE
DyFe11.4Ta0.6,539.5,,,12-,-,,4,,2.05 μB,,,,10.1016/j.jmmm.2019.01.041,TRUE
DyFe11.35Ta0.65,538.8,,,12-,-,,4,,2.04 μB,,,,10.1016/j.jmmm.2019.01.041,TRUE
DyFe11.3Ta0.7,540.3,,,12-,-,,4,,2.02 μB,,,,10.1016/j.jmmm.2019.01.041,TRUE
FeCr2S4,186.0,,,,,,,,,,,,10.1016/S0304-8853(00)00756-3,FALSE
Si0.99Cr0.01C,760.0,,,,43,,43,64,,0.04,0.002,1.3010-6,10.1016/j.jmmm.2019.165505,TRUE
Si0.97Cr0.03C,760.0,,,,43,,43,8,,0.09,0.006,70.0210-6,10.1016/j.jmmm.2019.165505,TRUE
Si0.95Cr0.05C,760.0,,,,43,,43,70,,0.02,0.001,53610-6,10.1016/j.jmmm.2019.165505,TRUE
Ni50Mn36.5Sb13.5,335.0,,,,,{'a': '5.979'},,,,45.55,,,10.1016/j.jmmm.2021.168200,TRUE
Ni50Mn36.5Sb13.0Si0.5,338.0,,,,,{'a': '5.958'},,,,41.45,,,10.1016/j.jmmm.2021.168200,TRUE
Ni50Mn36.5Sb12.5Si1.0,344.0,,,,,{'a': '5.945'},,,,39.15,,,10.1016/j.jmmm.2021.168200,TRUE
Ni50Mn36.5Sb12.0Si1.5,351.0,,,,,{'a': '5.940'},,,,37.65,,,10.1016/j.jmmm.2021.168200,TRUE
Ni50Mn36.5Sb11.5Si2.0,351.0,,,,,{'a': '5.936'},,,,36.45,,,10.1016/j.jmmm.2021.168200,TRUE
Ni50Mn36.5Sb11.0Si2.5,354.0,,,,,{'a': '5.942'},,,,35.15,,,10.1016/j.jmmm.2021.168200,TRUE
La0.85Sr0.15MnO3,320.0,,,,,,,,,,,,10.1016/j.jmmm.2013.07.045,TRUE
La0.67Sr0.33MnO3,350.0,,,,,,,,,,,,10.1016/j.jmmm.2013.07.045,TRUE
La0.55Sr0.45MnO3,350.0,,,,,,,,,,,,10.1016/j.jmmm.2013.07.045,TRUE
GaMnAs,172.0,,,,,,,,,,,,10.1016/j.jmmm.2006.11.209,TRUE
Ni2.9Co0.1V2O8,,8.5,,,-,"{'a': '5.9233', 'b': '11.3727', 'c': '8.2259'}",,,"μ_a = (0, 0.1(2), -0.2(2)) μ_B at 4a, μ_e = (1.46(8), 0.2(2), 0.1(2)) μ_B at 8e",,,,10.1016/j.jmmm.2015.08.106,TRUE
Ni2.5Co0.5V2O8,,8.5,,,-,"{'a': '5.9382', 'b': '11.3890', 'c': '8.2374'}",,,"μ_a = (0, -0.1(0), 0.1(2)) μ_B at 4a, μ_e = (1.3(1), 0.0(0), 0.35(8)) μ_B at 8e",,,,10.1016/j.jmmm.2015.08.106,TRUE
Ni3V2O8,,9.1,,,-,,,,1.4 μ_B,,,,10.1016/j.jmmm.2015.08.106,FALSE
BiNi0.125Fe0.875O3,,598.15,,,1,,3,,4.09 μB,,,,10.1016/j.jmmm.2017.09.063,FALSE
BiNi0.25Fe0.75O3,,598.15,,,1,,3,,4.00 μB,8.91,,,10.1016/j.jmmm.2017.09.063,FALSE
BiNi0.5Fe0.5O3,,598.15,,,1,,3,,1.67-1.68 μB,,,,10.1016/j.jmmm.2017.09.063,FALSE
GdCrO3,,174.0,-33,,,"{'a': '5.3129', 'b': '5.5210', 'c': '7.6040'}",,,7.37 μB,,,,10.1016/j.jmmm.2018.04.052,TRUE
Gd0.9Y0.1CrO3,,,-35,,,,,,7.99 μB,,,,10.1016/j.jmmm.2018.04.052,TRUE
Gd0.7Y0.3CrO3,,,-37,,,,,,7.17 μB,,,,10.1016/j.jmmm.2018.04.052,TRUE
