Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
Y2CrMnO6,75.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167276,FALSE
CeMgPb,,7.0,20,,,"{'a': '4.557', 'c': '16.405'}",4,2.8,2.25 μB,1.1..509,,,10.1016/j.jmmm.2012.03.037,TRUE
PrMgPb,,11.0,14,,,"{'a': '4.532', 'c': '16.328'}",4,2.2,1.80 μB,1.5..509,,,10.1016/j.jmmm.2012.03.037,TRUE
NdMgPb,,24.0,16,,,"{'a': '4.510', 'c': '16.259'}",4,6.2,3.38 μB,1.0..509,,,10.1016/j.jmmm.2012.03.037,TRUE
SmMgPb,,61.0,,,,"{'a': '4.471', 'c': '16.156'}",4,,,0.02..509,,,10.1016/j.jmmm.2012.03.037,TRUE
GdMgPb,,47.0,-3,,,"{'a': '4.444', 'c': '16.045'}",4,,,1.3..509,,,10.1016/j.jmmm.2012.03.037,TRUE
TbMgPb,,35.0,-11,,,"{'a': '4.423', 'c': '15.987'}",4,7.0,8.11 μB,3.7..509,,,10.1016/j.jmmm.2012.03.037,TRUE
DyMgPb,,26.0,-10,,,"{'a': '4.407', 'c': '15.947'}",4,2.6,8.12 μB,7.2..509,,,10.1016/j.jmmm.2012.03.037,TRUE
HoMgPb,,16.0,0,,,"{'a': '4.395', 'c': '15.904'}",4,2.0,9.56 μB,8.9..509,,,10.1016/j.jmmm.2012.03.037,TRUE
ErMgPb,,6.0,7,,,"{'a': '4.382', 'c': '15.869'}",4,1.6,7.61 μB,7.2..509,,,10.1016/j.jmmm.2012.03.037,TRUE
TmMgPb,,2.5,19,,,"{'a': '4.369', 'c': '15.843'}",4,,4.03 μB,5.6..509,,,10.1016/j.jmmm.2012.03.037,TRUE
La0.4Sm0.1Ca0.5MnO3,123.0,,204,,,"{'a': '5.407', 'b': '7.662', 'c': '5.398'}",62,,6.04 μB,,,,10.1016/j.jmmm.2015.01.039,TRUE
La0.5Ca0.5MnO3,220.0,,,,,,,,,,,,10.1016/j.jmmm.2015.01.039,FALSE
Ni45Mn44Sn11,307.3,,,21,,{'a': '5.945'},-3,,,,,,10.1016/j.jmmm.2018.07.048,TRUE
KMn0.97Ni0.03F3,,88.0,,18688,,,,,,,,,10.1016/j.jmmm.2020.166533,TRUE
YTiO3,27.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166533,TRUE
KCoF3,,114.0,,114,,,,,,,,,10.1016/j.jmmm.2020.166533,TRUE
CsNiF3,,2.63,,,,,,,,,,,10.1016/j.jmmm.2020.166533,TRUE
CsNiCl3,,4.74,,,,,,,,,,,10.1016/j.jmmm.2020.166533,TRUE
LaMnO3,,139.5,,,,,,,,,,,10.1016/j.jmmm.2020.166533,TRUE
Fe3C,485.0,,,,,"{'a': '0.5081 nm', 'b': '0.6734 nm', 'c': '0.4517 nm'}",,,1.80 μB/Fe-atom,1.303,,,10.1016/j.jmmm.2017.10.114,TRUE
Co90Nb10Ta3,360.0,,,,,,,,"18.04 emu/g (max), 0.216 emu/g (min)",,,,10.1016/j.jmmm.2019.03.130,TRUE
Gd,293.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,FALSE
Gd5Si2Ge2,278.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,FALSE
La0.8Ca0.2MnO3,230.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,FALSE
FeCrMoCuGaPCB,470.0,,,,,,,,,,,,10.1016/j.jmmm.2019.03.130,FALSE
CeFe2,225.0,,,,2-,{'a': '7.299'},,,2.48 μB/f.u.,55.8,,,10.1016/j.jmmm.2017.03.009,TRUE
Fe3.4In0.6N,214.0,,,,,{'a': '3.86208'},-3,,,,,,10.1016/j.jmmm.2019.165655,TRUE
Fe3O2BO3,,112.0,,-,,,,,,,,,10.1016/S0304-8853(00)01316-0,TRUE
Ni,456.0,,,--,,,,,,,,,10.1016/j.jmmm.2006.10.240,TRUE
Ni,627.0,,,--,,,,,,,,,10.1016/j.jmmm.2006.10.240,TRUE
Nd0.93MnO2.96,,80.0,,,,,,5100.840,,,33101240,,10.1016/j.jmmm.2004.04.108,TRUE
Co0.04Zn0.96O,750.0,,,,,{'c': '0.529 nm'},,100,1.1 μB/Co,,,,10.1016/j.jmmm.2006.06.012,TRUE
URu2Si2,,17.0,,,,,,,0.25 μB/U,,,,10.1016/j.jmmm.2003.11.159,TRUE
La1.4Sr1.6Mn2O7,70.0,100.0,,,,,4,,,,,,10.1016/j.jmmm.2003.12.1226,TRUE
Y2CoMnO6,76.0,,77,,21,,21,1.724,2.2 μB at 5 K,4.12..2.78,,,10.1016/j.jmmm.2020.166821,TRUE
Y2NiMnO6,54.0,,,,-,"{'a': '5.22', 'b': '5.55', 'c': '7.48'}",21,467,,0.841023,,,10.1016/j.jmmm.2020.167427,TRUE
Y2NiMnO6,79.0,,,,-,"{'a': '5.22', 'b': '5.55', 'c': '7.48'}",21,1001,,1.481023,,,10.1016/j.jmmm.2020.167427,TRUE
Y2NiMnO6,75.0,,,,-,"{'a': '5.22', 'b': '5.55', 'c': '7.48'}",21,1887,,0.801023,,,10.1016/j.jmmm.2020.167427,TRUE
Y2NiMnO6,81.0,,,,-,"{'a': '5.22', 'b': '5.55', 'c': '7.48'}",21,1247,,1.161023,,,10.1016/j.jmmm.2020.167427,TRUE
La2NiMnO6,280.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167427,FALSE
BaCuO2.00,,15.0,60-3.5,-,,{'a': '18.28'},,,3.1 μB,,,,10.1016/j.jmmm.2003.11.038,TRUE
Pd0.9965Fe0.0035Mn0.05,10.3,,,,,,,1.54.2,,,,,10.1016/S0304-8853(00)01387-1,TRUE
Mn1Fe4Si3,318.0,,,,,"{'a': '0.6796 nm', 'c': '0.4726 nm'}",63,,1.5–1.7 μB,,,,10.1016/j.jmmm.2021.167952,TRUE
Mn1.1Fe3.9Si3,308.0,,,,,,63,,,,,,10.1016/j.jmmm.2021.167952,TRUE
Mn1.2Fe3.8Si3,296.0,,,,,"{'a': '0.6814 nm', 'c': '0.4728 nm'}",63,,,,,,10.1016/j.jmmm.2021.167952,TRUE
Mn1.3Fe3.7Si3,286.0,,,,,,63,,,,,,10.1016/j.jmmm.2021.167952,TRUE
Nd0.5Sr0.5MnO3,250.0,225.0,,,,,,,,,,,10.1016/j.jmmm.2003.12.1124,TRUE
Pr3Cu4Sn4,,11.8,-4.2,,344-,"{'a': '15.046', 'b': '7.016', 'c': '4.580'}",,,1.6 μB/Pr-ion,,,,10.1016/S0304-8853(02)00380-3,TRUE
Nd3Cu4Sn4,,1.8,-8.7,,344-,"{'a': '14.990', 'b': '6.999', 'c': '4.562'}",,,1.6 μB/Nd-ion,,,,10.1016/S0304-8853(02)00380-3,TRUE
Sm3Cu4Sn4,,7.5,,,344-,"{'a': '14.856', 'b': '6.968', 'c': '4.520'}",,,,,,,10.1016/S0304-8853(02)00380-3,TRUE
Ce3Cu4Sn4,,10.4,-12.5,,344-,"{'a': '15.098', 'b': '7.022', 'c': '4.597'}",,,,,,,10.1016/S0304-8853(02)00380-3,FALSE
Gd3Cu4Sn4,,13.0,-39.5,,344-,"{'a': '14.789', 'b': '6.956', 'c': '4.500'}",,,,,,,10.1016/S0304-8853(02)00380-3,FALSE
Yb3Cu4Ge4,,7.5,,,344-,,,,,,,,10.1016/S0304-8853(02)00380-3,FALSE
Cr2CoAl,20.5,,29.76,,,{'a': '5.76'},-43,115100,0.11 μB/f.u. (at 5 K),,0.0004..100,1.3210-60,10.1016/j.jmmm.2020.167522,TRUE
Cr2CoGa,320.0,,,,,,,,,,,,10.1016/j.jmmm.2020.167522,FALSE
CoRuMnSi,780.0,,,21,,{'a': '5.78'},,,4 μB,3.92..33.6..300,,,10.1016/j.jmmm.2020.166536,TRUE
CoFeMnSi,620.0,,,3,,,,,,,,,10.1016/j.jmmm.2020.166536,FALSE
La2CuO4,,174.0,,,,,,,,,,,10.1016/j.jmmm.2003.11.048,TRUE
La2CuO4,,168.0,,,,,,,,,,,10.1016/j.jmmm.2003.11.048,TRUE
La1.32Sr1.68Mn2O7,118.0,,,,,"{'a': '3.8661', 'c': '20.1759'}",,,,,,,10.1016/j.jmmm.2010.02.037,TRUE
Gd,293.0,,,-,,"{'a': '3.623', 'b': '3.623', 'c': '5.822'}",63,,,,,,10.1016/j.jmmm.2022.170164,TRUE
Sr4Ru3O10,105.0,,,,,{'c': '28'},,,"1.59 μB (inner Ru), 0.92 μB (outer Ru)",,,,10.1016/j.jmmm.2019.165698,TRUE
SrRuO3,160.0,,,,,,,,,,,,10.1016/j.jmmm.2019.165698,FALSE
Ca2RuO4,,110.0,,,,,,,,,,,10.1016/j.jmmm.2019.165698,FALSE
Ca3Ru2O7,,56.0,,,,,,,,,,,10.1016/j.jmmm.2019.165698,FALSE
Mn5Si3,,83.0,,,,,632,,,,,,10.1016/j.jmmm.2021.167909,TRUE
Ni3Al,41.5,,,,312,{'a': '3.568'},,,0.23 μB/cell,,,,10.1016/S0304-8853(01)00564-9,TRUE
MnFe4Si3,323.0,,,,,,63,5,1.5–1.7 μB/T.M.,,0.052,,10.1016/j.jmmm.2020.166597,TRUE
